代碼,商品,新聞內容,日期
2609,陽明,SCFI運價指數重返千點,2023/6/5
2610,華航,航空業三多 Q3大爆發,2023/6/5
2615,萬海,SCFI運價指數重返千點,2023/6/5
2618,長榮航,航空業三多 Q3大爆發,2023/6/5
3008,大立光,iPhone 15量產 台鏈動了,2023/6/5
3023,信邦,信邦營收 連四月創高,2023/6/5
3324,雙鴻,雙鴻 今年毛利率將衝高,2023/6/5
3481,群創,顯示器四強升級 銀彈上膛,2023/6/5
3576,聯合再生,原料大降價 太陽能廠喜迎甜蜜期,2023/6/5
4513,福裕,福裕強化戰力 雙路出擊,2023/6/5
4916,事欣科,事欣科 奪美軍工大單,2023/6/5
4938,和碩,iPhone 15量產 台鏈動了,2023/6/5
4938,和碩,臺灣50指數 AI股搶上榜,2023/6/5
5009,榮剛,榮剛大吃轉單 動能升溫,2023/6/5
5225,東科-KY,東科-KY 業績將逐季上揚,2023/6/5
6116,彩晶,顯示器四強升級 銀彈上膛,2023/6/5
6244,茂迪,原料大降價 太陽能廠喜迎甜蜜期,2023/6/5
6269,台郡,台郡攻5G應用 商機大,2023/6/5
6414,樺漢,AI含金量高科技股 營運火,2023/6/5
6443,元晶,原料大降價 太陽能廠喜迎甜蜜期,2023/6/5
6446,藥華藥,藥華藥授權報捷 里程碑金上看34億元,2023/6/5
6533,晶心科,RISC-V軟體生態計畫 啟動,2023/6/5
6546,正基,正基攻車用 明年有看頭,2023/6/5
6669,緯穎,臺灣50指數 AI股搶上榜,2023/6/5
8069,元太,顯示器四強升級 銀彈上膛,2023/6/5
2646,星宇航空,航空業三多 Q3大爆發,2023/6/5
2201,裕隆,車市報喜 18年來最旺5月,2023/6/2
2204,中華,車市報喜 18年來最旺5月,2023/6/2
2206,三陽工業,三陽工業機車市占稱冠、汽車業績催油門,2023/6/2
2206,三陽工業,車市報喜 18年來最旺5月,2023/6/2
2207,和泰車,車市報喜 18年來最旺5月,2023/6/2
2247,汎德永業,車市報喜 18年來最旺5月,2023/6/2
2317,鴻海,伺服器供應鏈 雜音變小了,2023/6/2
2330,台積電,三星S23拆解 護國神山大贏家,2023/6/2
2330,台積電,輝達：下世代產品 台積電製造,2023/6/2
2353,宏碁,雙A正面展望 看見新訂單,2023/6/2
2356,英業達,伺服器供應鏈 雜音變小了,2023/6/2
2357,華碩,雙A正面展望 看見新訂單,2023/6/2
2382,廣達,伺服器供應鏈 雜音變小了,2023/6/2
2393,億光,LED回溫 富采/億光受惠,2023/6/2
3406,玉晶光,玉晶光 今年營收將衝高,2023/6/2
3706,神達,神達伺服器 急單來了,2023/6/2
3714,富采,LED回溫 富采/億光受惠,2023/6/2
6669,緯穎,伺服器供應鏈 雜音變小了,2023/6/2
8046,南電,美銀挺ABF股 喊買南電,2023/6/2
8240,華宏,華宏大拓市 開發新材料,2023/6/2
8374,羅昇,羅昇 強攻充電商機,2023/6/2
8478,東哥遊艇,東哥遊艇 訂單排到2025年,2023/6/2
1101,台泥,台泥張安平：綠能儲能已開始獲利,2023/6/1
2015,豐興,豐興 強攻車用高階市場,2023/6/1
2049,上銀,上銀衝營運 加班拚出貨,2023/6/1
2317,鴻海,國創業務分拆 三大效益,2023/6/1
2317,鴻海,搭上輝達浪潮 鴻海AI伺服器訂單倍增,2023/6/1
2327,國巨,國創業務分拆 三大效益,2023/6/1
2330,台積電,半導體三強 瑞銀喊買,2023/6/1
2379,瑞昱,半導體三強 瑞銀喊買,2023/6/1
2454,聯發科,半導體三強 瑞銀喊買,2023/6/1
2618,長榮航,長榮航 今年獲利拚新高,2023/6/1
2732,六角,六角：全球大拓點,2023/6/1
3034,聯詠,聯詠出擊 瞄準AI商機,2023/6/1
3481,群創,群創 看好NB面板需求,2023/6/1
4536,拓凱,拓凱 航太/球拍業績看好,2023/6/1
5274,信驊,信驊強攻智慧工廠 規劃9月大量生產,2023/6/1
5525,順天,順天帶勁 大案將入帳,2023/6/1
6690,安碁資訊,安碁資訊 今年營運樂觀,2023/6/1
8210,勤誠,勤誠 客戶排隊談訂單,2023/6/1
1301,台塑,台塑：下半年營運不看淡,2023/5/31
1312,國喬,國喬拚轉型 啟動大擴產,2023/5/31
2308,台達電,台達電 今年業務維持年增兩位數目標,2023/5/31
2344,華邦電,華邦電董座：下半年不用擔心,2023/5/31
2351,順德,順德 拚全年營收創高,2023/5/31
2382,廣達,AI伺服器比重超5成 廣達揭明年「成長恐怖」,2023/5/31
2449,京元電子,京元電子：AI效益逐步成長,2023/5/31
2547,日勝生,日勝生 衝刺三核心事業,2023/5/31
2603,長榮,長榮 本季營運將優於首季,2023/5/31
2615,萬海,萬海：擴大物流鏈布局,2023/5/31
2739,寒舍,寒舍/雲品 唱旺業績,2023/5/31
2748,雲品,寒舍/雲品 唱旺業績,2023/5/31
2926,誠品生活,誠品生活 今年拚展店萬坪,2023/5/31
3037,欣興,看好AI伺服器 欣興砸300億投資新廠,2023/5/31
4958,臻鼎-KY,臻鼎-KY：下半年迎溫和復甦,2023/5/31
5904,寶雅,寶雅 今年逐步恢復動能,2023/5/31
6414,樺漢,樺漢 AI業務拚成長雙位數,2023/5/31
6456,GIS-KY,GIS-KY 打入蘋果MR頭盔鏈,2023/5/31
6581,鋼聯,鋼聯 強攻廢棄物事業,2023/5/31
6803,崑鼎,美垃圾處理股 躍投資新寵,2023/5/31
1103,嘉泥,嘉泥旅宿事業 迎錢潮,2023/5/30
1605,華新,銅價強彈 線纜族群吃補,2023/5/30
1608,華榮,銅價強彈 線纜族群吃補,2023/5/30
1612,宏泰,銅價強彈 線纜族群吃補,2023/5/30
2317,鴻海,鴻海報捷 特斯拉大單到手,2023/5/30
2324,仁寶,六大咖：電腦業黃金時代到來,2023/5/30
2353,宏碁,六大咖：電腦業黃金時代到來,2023/5/30
2357,華碩,六大咖：電腦業黃金時代到來,2023/5/30
2382,廣達,輝達大單 廣達搶到頭香,2023/5/30
2454,聯發科,聯發科猛踩油門 3奈米車用晶片拚2024投片,2023/5/30
2454,聯發科,聯發科結盟輝達 進軍車用,2023/5/30
2881,富邦金,星主權基金 抄底六金控股,2023/5/30
2882,國泰金,星主權基金 抄底六金控股,2023/5/30
2884,玉山金,星主權基金 抄底六金控股,2023/5/30
2886,兆豐金,星主權基金 抄底六金控股,2023/5/30
2891,中信金,星主權基金 抄底六金控股,2023/5/30
2892,第一金,星主權基金 抄底六金控股,2023/5/30
3005,神基,神基 今年營收有望衝高,2023/5/30
3231,緯創,六大咖：電腦業黃金時代到來,2023/5/30
3260,威剛,威剛：DRAM價本季落底,2023/5/30
3535,晶彩科,晶彩科 AOI設備拚放量出貨,2023/5/30
3576,聯合再生,再生能源條例 照亮光電業,2023/5/30
4938,和碩,六大咖：電腦業黃金時代到來,2023/5/30
6244,茂迪,再生能源條例 照亮光電業,2023/5/30
6443,元晶,再生能源條例 照亮光電業,2023/5/30
6531,愛普*,愛普*強攻AI 營運爆發,2023/5/30
6669,緯穎,伺服器廠積極搶AI商機 整櫃平均單價高3倍,2023/5/30
6669,緯穎,緯穎搭載輝達新品 年底出貨,2023/5/30
6806,森崴能源,再生能源條例 照亮光電業,2023/5/30
8938,明安,明安 Q4將重返旺季,2023/5/30
1256,鮮活果汁-KY,鮮活果汁-KY衝營運 雙引擎點火,2023/5/29
1326,台化,台化Q2將轉盈 營運逐季揚,2023/5/29
1598,岱宇,岱宇 電動自行車躍新動能,2023/5/29
2012,春雨,春雨：客戶去庫存近尾聲,2023/5/29
2105,正新,正新改選 傳羅才仁將回鍋,2023/5/29
2208,台船,造船廠三強 在手訂單900億,2023/5/29
2317,鴻海,NVIDIA頂級H100代工大單 鴻海搶下9成,2023/5/29
2317,鴻海,鴻海伺服器 AI浪潮大贏家,2023/5/29
2330,台積電,新科技旋風席捲美股 費半連二日漲逾6%,2023/5/29
2330,台積電,輝達追單 台積電營收將爆發,2023/5/29
2393,億光,億光 下半年營運回溫,2023/5/29
2409,友達,友達：營運可望季季好,2023/5/29
2454,聯發科,新科技旋風席捲美股 費半連二日漲逾6%,2023/5/29
2882,國泰金,國泰金 拚獲利季季增,2023/5/29
3006,晶豪科,晶豪科 奪陸廠大單,2023/5/29
3017,奇鋐,銅價探低 散熱族群樂透,2023/5/29
3083,網龍,大宇資/網龍 西進添動能,2023/5/29
3324,雙鴻,銅價探低 散熱族群樂透,2023/5/29
3338,泰碩,銅價探低 散熱族群樂透,2023/5/29
3481,群創,挪威主權基金 大買群創股,2023/5/29
5009,榮剛,榮剛新爐將量產 添動能,2023/5/29
5244,弘凱,弘凱 瞄準三大利基市場,2023/5/29
6111,大宇資,大宇資/網龍 西進添動能,2023/5/29
6190,萬泰科,萬泰科 營收逐步復甦,2023/5/29
6230,尼得科超眾,銅價探低 散熱族群樂透,2023/5/29
6282,康舒,康舒：本季是今年低谷,2023/5/29
6486,互動,互動 搶攻淨零碳排商機,2023/5/29
6753,龍德造船,造船廠三強 在手訂單900億,2023/5/29
8463,潤泰材,潤泰材訂單滿手 營運向上,2023/5/29
2644,中信造船,造船廠三強 在手訂單900億,2023/5/29
4588,玖鼎電力,玖鼎電力 智慧電表出貨看旺,2023/5/29
1589,永冠-KY,永冠-KY接單熱 推升業績,2023/5/26
2313,華通,華通 下半年漸入佳境,2023/5/26
2317,鴻海,劉揚偉：景氣Q3提前回溫,2023/5/26
2330,台積電,台積電5奈米急拉滿載 NVIDIA「超急件」成救世主,2023/5/26
2330,台積電,黃仁勳：公司轉向銷售AI生態系,2023/5/26
2376,技嘉,技嘉喊衝 強攻伺服器業務,2023/5/26
2449,京元電子,NVIDIA成亂市明燈 台系封測供應鏈齊按讚,2023/5/26
3264,欣銓,欣銓 攻AI /高速運算,2023/5/26
3703,欣陸,欣陸 在手案量創新高,2023/5/26
3711,日月光投控,NVIDIA成亂市明燈 台系封測供應鏈齊按讚,2023/5/26
4105,東洋,東洋 進軍東協市場,2023/5/26
5347,世界,車用晶片代工 高盛按讚,2023/5/26
6116,彩晶,彩晶 車用事業大單到手,2023/5/26
8234,新漢,新漢：Q4恢復成長動能,2023/5/26
4971,IET-KY,經理人信託,2023/5/26
4971,IET-KY,經理人信託,2023/5/26
4971,IET-KY,經理人信託,2023/5/26
4971,IET-KY,董事信託,2023/5/26
6179,亞通,董事一般交易,2023/5/26
6762,達亞,董事拍賣或標購之委託競價,2023/5/26
9921,巨大,董事贈與,2023/5/26
1503,士電,重電五虎 搶攻充電樁/綠能,2023/5/25
1504,東元,東元 年營收拚增雙位數,2023/5/25
1513,中興電,重電五虎 搶攻充電樁/綠能,2023/5/25
1514,亞力,重電五虎 搶攻充電樁/綠能,2023/5/25
1519,華城,重電五虎 搶攻充電樁/綠能,2023/5/25
1529,樂事綠能,重電五虎 搶攻充電樁/綠能,2023/5/25
2201,裕隆,裕隆接單火熱 擴產備戰,2023/5/25
2323,中環,中環 業內外迎接復甦,2023/5/25
2338,光罩,光罩產能滿載 營運增溫,2023/5/25
2344,華邦電,蘋鏈新名單 聯詠/華邦電入列,2023/5/25
2409,友達,康寧漲價 面板景氣拐點到,2023/5/25
2421,建準,建準 三大引擎熱轉,2023/5/25
2618,長榮航,長榮航票價 暴漲五成,2023/5/25
2834,臺企銀,臺企銀 明年股利展望樂觀,2023/5/25
2903,遠百,遠百兩岸進擊 衝營運,2023/5/25
3034,聯詠,蘋鏈新名單 聯詠/華邦電入列,2023/5/25
3105,穩懋,穩懋：最壞情況已過,2023/5/25
3454,晶睿,晶睿賺AI財 業績可期,2023/5/25
3481,群創,康寧漲價 面板景氣拐點到,2023/5/25
4736,泰博,泰博 併菲國連鎖藥局,2023/5/25
6443,元晶,元晶受惠綠能 營運看旺,2023/5/25
6446,藥華藥,藥華藥產品 納日健保給付,2023/5/25
6789,采鈺,采鈺 下半年力拼成長,2023/5/25
8924,大田,大田出貨熱 營運帶勁,2023/5/25
2002,中鋼,中鋼看產業前景 不悲觀,2023/5/24
2236,百達-KY,百達-KY 奪下比亞迪大單,2023/5/24
2330,台積電,蘋果MR鏈 外資按讚,2023/5/24
2344,華邦電,韓廠出貨報喜 DRAM大復活,2023/5/24
2382,廣達,廣達墨國設廠 傳供貨特斯拉,2023/5/24
2408,南亞科,韓廠出貨報喜 DRAM大復活,2023/5/24
2455,全新,全新 營運將逐季向上,2023/5/24
2498,宏達電,蘋果MR鏈 外資按讚,2023/5/24
2610,華航,夏季最大旅展 拚買氣回神,2023/5/24
2618,長榮航,夏季最大旅展 拚買氣回神,2023/5/24
2704,國賓,夏季最大旅展 拚買氣回神,2023/5/24
2707,晶華,夏季最大旅展 拚買氣回神,2023/5/24
2731,雄獅,夏季最大旅展 拚買氣回神,2023/5/24
2743,山富,夏季最大旅展 拚買氣回神,2023/5/24
2745,五福,夏季最大旅展 拚買氣回神,2023/5/24
3037,欣興,蘋果MR鏈 外資按讚,2023/5/24
3260,威剛,記憶體現貨市場風向轉變 高階DDR5止跌,2023/5/24
3406,玉晶光,蘋果MR鏈 外資按讚,2023/5/24
3504,揚明光,蘋果MR鏈 外資按讚,2023/5/24
4763,材料-KY,材料-KY喊漲價 獲利看增,2023/5/24
5706,鳳凰,夏季最大旅展 拚買氣回神,2023/5/24
6112,邁達特,邁達特攜美商 搶攻資安,2023/5/24
6456,GIS-KY,蘋果MR鏈 外資按讚,2023/5/24
6533,晶心科,IAR：RISC-V車用機會最顯著,2023/5/24
6643,M31,M31 年營收拚新高,2023/5/24
8046,南電,南電 下半年營運向好,2023/5/24
6285,啟碁,經理人贈與,2023/5/24
8027,鈦昇,經理人贈與,2023/5/24
1455,集盛,宏遠/集盛 強攻海外鏈,2023/5/23
1460,宏遠,宏遠/集盛 強攻海外鏈,2023/5/23
2317,鴻海,印度製造補助加碼 鴻海利多,2023/5/23
2409,友達,電視面板報價 連三月走升,2023/5/23
2704,國賓,國際型展覽回歸 飯店業迎展會商機,2023/5/23
2707,晶華,國際型展覽回歸 飯店業迎展會商機,2023/5/23
3481,群創,電視面板報價 連三月走升,2023/5/23
3594,磐儀,磐儀 軌道交通奪新專案,2023/5/23
3702,大聯大,大聯大 Q2淨利拚倍增,2023/5/23
3706,神達,神達急單到 本季營收回溫,2023/5/23
6525,捷敏-KY,捷敏-KY 預期下半年市場回溫,2023/5/23
8463,潤泰材,潤泰材三引擎熱轉 今年營運拚優於去年,2023/5/23
9958,世紀鋼,世紀鋼攻風電 歡喜收割,2023/5/23
2305,全友,董事鉅額逐筆交易,2023/5/23
3056,總太,董事一般交易,2023/5/23
6284,佳邦,經理人一般交易,2023/5/23
674191,APP*-KY,大股東一般交易,2023/5/23
1219,福壽,亞洲熱浪 推升大宗商品行情,2023/5/22
1229,聯華,亞洲熱浪 推升大宗商品行情,2023/5/22
1232,大統益,亞洲熱浪 推升大宗商品行情,2023/5/22
1476,儒鴻,成衣雙雄新品 搭綠色潮流,2023/5/22
1477,聚陽,成衣雙雄新品 搭綠色潮流,2023/5/22
1504,東元,東元/大同活化資產 業外補,2023/5/22
1533,車王電,車王電攜美企 攻電動巴士,2023/5/22
1560,中砂,中砂 鑽石碟業務將回溫,2023/5/22
1605,華新,華新大轉型 要賺能源財,2023/5/22
2002,中鋼,鋼市迎轉機 買氣大增,2023/5/22
2014,中鴻,鋼市迎轉機 買氣大增,2023/5/22
2031,新光鋼,鋼市迎轉機 買氣大增,2023/5/22
2034,允強,鋼市迎轉機 買氣大增,2023/5/22
2327,國巨,國巨目標價 大摩喊635元,2023/5/22
2330,台積電,Meta推AI晶片 採台積7奈米,2023/5/22
2330,台積電,台積電2奈米GAA驚艷 客戶急修正藍圖,2023/5/22
2371,大同,東元/大同活化資產 業外補,2023/5/22
2382,廣達,里昂看好PC 喊買廣達,2023/5/22
2408,南亞科,半導體震撼 大陸封殺美光,2023/5/22
2409,友達,群創/友達 TV面板要賺錢了,2023/5/22
2610,華航,長榮航：暑假機票一位難求,2023/5/22
2610,華航,航空客運 新一波大潮來了,2023/5/22
2610,華航,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2618,長榮航,長榮航：暑假機票一位難求,2023/5/22
2618,長榮航,航空客運 新一波大潮來了,2023/5/22
2618,長榮航,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2707,晶華,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2731,雄獅,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2743,山富,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2745,五福,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
2890,永豐金,永豐銀做強做大 三面向進擊,2023/5/22
3010,華立,華立 規劃擴大在日布局,2023/5/22
3481,群創,群創/友達 TV面板要賺錢了,2023/5/22
3533,嘉澤,嘉澤 第2季EPS估逾12.5元,2023/5/22
3711,日月光投控,日月光矽光子先進封裝 打入博通,2023/5/22
5269,祥碩,受惠AI應用浪潮 輝達財測有望上修,2023/5/22
5536,聖暉*,設備廠小金雞 掀起上櫃風,2023/5/22
5706,鳳凰,陸開放台灣團旅 旅行社、航空股迎利多,2023/5/22
6112,邁達特,邁達特 四大業務帶勁,2023/5/22
6279,胡連,比亞迪降價 將帶旺胡連,2023/5/22
6425,易發,易發轉盈 將配息1元,2023/5/22
6446,藥華藥,藥華藥PV新藥 搶鏡,2023/5/22
6451,訊芯-KY,鴻海衝半導體 蔣尚義掌訊芯,2023/5/22
6516,勤崴國際,勤崴國際深耕自駕車 營運衝,2023/5/22
6613,朋億*,設備廠小金雞 掀起上櫃風,2023/5/22
6698,旭暉應材,設備廠小金雞 掀起上櫃風,2023/5/22
8033,雷虎,雷虎攻無人機 引進以國技術,2023/5/22
8454,富邦媒,蔡明忠：富邦媒強攻直播電商,2023/5/22
9904,寶成,寶成庫存去化 下半年營運向好,2023/5/22
6794,向榮生技,向榮生技兩新藥臨床 有進展,2023/5/22
1342,八貫,八貫攻智能床墊 添動能,2023/5/19
1476,儒鴻,儒鴻：市場回溫是進行式,2023/5/19
2317,鴻海,亞馬遜投資印度 鴻海受惠,2023/5/19
2436,偉詮電,偉詮電 下半年營運看俏,2023/5/19
3032,偉訓,偉訓 電競電源接單火熱,2023/5/19
3037,欣興,欣興目標價 高盛喊195元,2023/5/19
3231,緯創,緯創業績俏 外資力捧,2023/5/19
3443,創意,創意Q2向上 Q3更好,2023/5/19
3715,定穎投控,定穎投控 拚全年獲利成長,2023/5/19
6125,廣運,廣運訂單 排到2024年,2023/5/19
6576,逸達,逸達新藥 在美銷量亮眼,2023/5/19
6666,羅麗芬-KY,羅麗芬-KY攻直營 兩岸拓點,2023/5/19
7556,意德士,意德士產能 後年增二倍,2023/5/19
8261,富鼎,陳泰銘接任富鼎董事長 為車用找出海口,2023/5/19
1477,聚陽,聚陽：景氣明年有感成長,2023/5/18
1504,東元,東元訂單穩健 營收樂觀,2023/5/18
2206,三陽工業,三陽工業衝鋒 機車拚賣70萬輛,2023/5/18
2301,光寶科,光寶科 拚下半年成長,2023/5/18
2330,台積電,SEMI信心喊話：半導體調庫存 年中結束,2023/5/18
2454,聯發科,SEMI信心喊話：半導體調庫存 年中結束,2023/5/18
2812,台中銀,兩大主權基金 抄底金融股,2023/5/18
2834,臺企銀,兩大主權基金 抄底金融股,2023/5/18
2903,遠百,遠百 今年營收挑戰600億,2023/5/18
3260,威剛,陸廠跑第一 NAND漲聲響,2023/5/18
4967,十銓,陸廠跑第一 NAND漲聲響,2023/5/18
5269,祥碩,提前落底提前回溫 祥碩2023營收逐季揚,2023/5/18
5388,中磊,中磊菲國廠量產 戰力躍進,2023/5/18
6843,進典,進典接單旺 營運進補,2023/5/18
6869,雲豹能源-創,雲豹能源-創 奪水處理標案,2023/5/18
8069,元太,元太奪單 明年大爆發,2023/5/18
8271,宇瞻,陸廠跑第一 NAND漲聲響,2023/5/18
8299,群聯,陸廠跑第一 NAND漲聲響,2023/5/18
1795,美時,美時肺癌藥 營運新動能,2023/5/17
2028,威致,威致 調漲廢鋼收購價,2023/5/17
2201,裕隆,和泰車/裕隆電動車 接單火爆,2023/5/17
2207,和泰車,和泰車/裕隆電動車 接單火爆,2023/5/17
2330,台積電,權王衝車用 攜手恩智浦,2023/5/17
2353,宏碁,宏碁：Q2…PC轉折點,2023/5/17
2409,友達,TV面板出貨旺 雙虎翻身,2023/5/17
2421,建準,建準三路進擊 獲利看旺,2023/5/17
3008,大立光,大立光卡位車用 劍指舜宇,2023/5/17
3008,大立光,大立光專利戰 降服特斯拉,2023/5/17
3037,欣興,里昂 看好ABF族群,2023/5/17
3189,景碩,里昂 看好ABF族群,2023/5/17
3481,群創,TV面板出貨旺 雙虎翻身,2023/5/17
4768,晶呈科技,晶呈科技拚333達標 審慎樂觀,2023/5/17
4960,誠美材,訂單回暖 偏光雙雄稼動率攀升,2023/5/17
5227,立凱-KY,立凱-KY IP技術授權 跨大步,2023/5/17
5351,鈺創,鈺創搶商機 攻軍工領域,2023/5/17
6146,耕興,耕興 下半年動能再起,2023/5/17
6223,旺矽,旺矽 探針卡迎急單,2023/5/17
6285,啟碁,啟碁 全年拚績增兩位數,2023/5/17
6505,台塑化,IEA：油市下半年供不應求,2023/5/17
6541,泰福-KY,台康生技/泰福-KY生物藥 報捷,2023/5/17
6589,台康生技,台康生技/泰福-KY生物藥 報捷,2023/5/17
8046,南電,里昂 看好ABF族群,2023/5/17
8215,明基材,訂單回暖 偏光雙雄稼動率攀升,2023/5/17
8422,可寧衛,可寧衛 預期今年續成長,2023/5/17
1905,華紙,華紙：漿價有機會止跌,2023/5/16
2207,和泰車,和泰車攻氫能車 邁大步,2023/5/16
2317,鴻海,鴻海攻智慧電動車 德商助陣,2023/5/16
2327,國巨,拉貨增強 國巨/華新科營收有望逐月攀升,2023/5/16
2330,台積電,蘋果MR處理器 台積電獨家代工,2023/5/16
2492,華新科,拉貨增強 國巨/華新科營收有望逐月攀升,2023/5/16
2610,華航,航空雙雄 營運旺到明年,2023/5/16
2618,長榮航,航空雙雄 營運旺到明年,2023/5/16
2881,富邦金,富邦金/國泰金 小摩按讚,2023/5/16
2882,國泰金,富邦金/國泰金 小摩按讚,2023/5/16
2891,中信金,中信金：今年獲利會更好,2023/5/16
3217,優群,PC復甦 瑞儀/優群聚光,2023/5/16
4746,台耀,台耀擴產 鞏固歐洲市場,2023/5/16
5263,智崴,智崴設備 再下一城,2023/5/16
6176,瑞儀,PC復甦 瑞儀/優群聚光,2023/5/16
6214,精誠,精誠攻ESG 營運火爆,2023/5/16
2644,中信造船,中信造船 奪國防部訂單,2023/5/16
1319,東陽,東陽 新能源車攻勢加速,2023/5/15
1504,東元,東元大動作 攻美國基建商機,2023/5/15
2330,台積電,蘋果/輝達下單 台積電雙喜臨門,2023/5/15
2368,金像電,雲端產業前景 高盛看好,2023/5/15
2382,廣達,雲端產業前景 高盛看好,2023/5/15
2395,研華,研華 強攻智慧車商機,2023/5/15
2409,友達,面板雙虎 高喊轉型抗衝擊,2023/5/15
2637,慧洋-KY,慧洋-KY：6月運價有望反彈,2023/5/15
2884,玉山金,二主權基金 加碼玉山金,2023/5/15
3481,群創,面板雙虎 高喊轉型抗衝擊,2023/5/15
3533,嘉澤,雲端產業前景 高盛看好,2023/5/15
3535,晶彩科,帆宣/晶彩科接單旺 業績喊衝,2023/5/15
3545,敦泰,敦泰 中長期訂單增溫,2023/5/15
3576,聯合再生,太陽能四傑 強攻電廠商機,2023/5/15
3703,欣陸,欣陸高雄再生水廠 開工,2023/5/15
6196,帆宣,帆宣/晶彩科接單旺 業績喊衝,2023/5/15
6244,茂迪,太陽能四傑 強攻電廠商機,2023/5/15
6279,胡連,胡連 今年EPS估近10元,2023/5/15
6443,元晶,太陽能四傑 強攻電廠商機,2023/5/15
6472,保瑞,保瑞放閃 Q1賺逾一股本,2023/5/15
6477,安集,太陽能四傑 強攻電廠商機,2023/5/15
6541,泰福-KY,泰福-KY相似藥 進入收成期,2023/5/15
2207,和泰車,和泰車 每股賺9.27元,2023/5/12
2330,台積電,台積電3奈米製程 車用客戶搶用,2023/5/12
3591,艾笛森,車用照明成品動能上路 艾笛森逐季發光,2023/5/12
3665,貿聯-KY,貿聯-KY寫最強Q1 每股賺4.01元,2023/5/12
4147,中裕,中裕愛滋新藥 有進展,2023/5/12
4938,和碩,Google推新品 軟硬通吃,2023/5/12
4971,IET-KY,手握美國防訂單 英特磊擬申請晶片法案擴廠,2023/5/12
5269,祥碩,祥碩 USB4新品傳捷報,2023/5/12
5452,佶優,佶優 今年業績拚增二成,2023/5/12
5534,長虹,長虹 殖利率6%,2023/5/12
1303,南亞,PC急單/ TV回補加大 華邦電/南亞Q2有望受惠,2023/5/11
1614,三洋電,禾聯碩/上洋/三洋電 創佳績,2023/5/11
1795,美時,美時/保瑞 4月營收倍增,2023/5/11
2206,三陽工業,汽機車都有斬獲 三陽工業上月業績增41%,2023/5/11
2330,台積電,AI熱 NVIDIA急預訂先進封裝,2023/5/11
2344,華邦電,PC急單/ TV回補加大 華邦電/南亞Q2有望受惠,2023/5/11
2353,宏碁,宏碁：下半年旺季可期,2023/5/11
2492,華新科,華新科 獲陸手機急單,2023/5/11
2610,華航,航空三雄 上月營收高飛,2023/5/11
2618,長榮航,航空三雄 上月營收高飛,2023/5/11
3034,聯詠,面板驅動IC鏈 本季看俏,2023/5/11
3529,力旺,力旺 下半年可望恢復動能,2023/5/11
5283,禾聯碩,禾聯碩/上洋/三洋電 創佳績,2023/5/11
